"movie_id","movie_name","movie_distributor","movie_genre"
"Romantic-Comedy_2009_24","Antarctica","Regent Releasing","Romantic-Comedy"
"Romantic-Comedy_2009_25","Tru Loved","Regent Releasing","Romantic-Comedy"
"Romantic-Comedy_2009_26","I Can't Think Straight","Regent Releasing","Romantic-Comedy"
"Romantic-Comedy_2010_1","Valentine's Day","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2010_2","The Bounty Hunter","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2010_3","It’s Complicated","Universal","Romantic-Comedy"
"Romantic-Comedy_2010_4","Life as We Know It","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2010_5","The Back-up Plan","CBS Films","Romantic-Comedy"
"Romantic-Comedy_2010_6","When in Rome","Walt Disney","Romantic-Comedy"
"Romantic-Comedy_2010_7","She's Out of My League","Paramount Pictures","Romantic-Comedy"
"Romantic-Comedy_2010_8","The Switch","Miramax","Romantic-Comedy"
"Romantic-Comedy_2010_9","Leap Year","Universal","Romantic-Comedy"
"Romantic-Comedy_2010_10","How Do You Know?","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2010_11","Just Wright","Fox Searchlight","Romantic-Comedy"
"Romantic-Comedy_2010_12","Going the Distance","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2010_13","Did You Hear About the Morg…","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2010_14","Greenberg","Focus Features","Romantic-Comedy"
"Romantic-Comedy_2010_15","Flipped","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2010_16","Housefull","Eros Entertainment","Romantic-Comedy"
"Romantic-Comedy_2010_17","I Hate Luv Storys","UTV Communications","Romantic-Comedy"
"Romantic-Comedy_2010_18","Aisha","Viva Entertainment","Romantic-Comedy"
"Romantic-Comedy_2010_19","Fei Cheng Wu Rao 2","China Lion Film D…","Romantic-Comedy"
"Romantic-Comedy_2010_20","De Mai Tinh","Variance Films","Romantic-Comedy"
"Romantic-Comedy_2010_21","The Good Guy","Roadside Attractions","Romantic-Comedy"
"Romantic-Comedy_2010_22","Feed the Fish","Strand","Romantic-Comedy"
"Romantic-Comedy_2010_23","The People I've Slept With","People Pictures","Romantic-Comedy"
"Romantic-Comedy_2010_24","16 to Life","Waterdog Films","Romantic-Comedy"
"Romantic-Comedy_2010_25","The Freebie","Phase 4 Films","Romantic-Comedy"
"Romantic-Comedy_2010_26","BearCity","TLA Releasing","Romantic-Comedy"
"Romantic-Comedy_2010_27","Speed-Dating","Rockstone Releasing","Romantic-Comedy"
"Romantic-Comedy_2010_28","White On Rice","Variance Films","Romantic-Comedy"
"Romantic-Comedy_2010_29","Un baiser s'il vous plaît","Music Box Films","Romantic-Comedy"
"Romantic-Comedy_2010_30","Tru Loved","Regent Releasing","Romantic-Comedy"
"Romantic-Comedy_2011_1","Just Go With It","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2011_2","Zookeeper","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2011_3","No Strings Attached","Paramount Pictures","Romantic-Comedy"
"Romantic-Comedy_2011_4","Midnight in Paris","Sony Pictures Cla…","Romantic-Comedy"
"Romantic-Comedy_2011_5","Friends with Benefits","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2011_6","New Year’s Eve","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2011_7","Something Borrowed","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2011_8","Jumping the Broom","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2011_9","Larry Crowne","Universal","Romantic-Comedy"
"Romantic-Comedy_2011_10","Monte Carlo","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2011_11","What's Your Number?","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2011_12","How Do You Know?","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2011_13","From Prada to Nada","Lionsgate","Romantic-Comedy"
"Romantic-Comedy_2011_14","The Art of Getting By","Fox Searchlight","Romantic-Comedy"
"Romantic-Comedy_2011_15","No Eres Tu, Soy Yo","Lionsgate","Romantic-Comedy"
"Romantic-Comedy_2011_16","The Heart Specialist","Freestyle Releasing","Romantic-Comedy"
"Romantic-Comedy_2011_17","Mere Brother Ki Dulhan","Yash Raj Films","Romantic-Comedy"
"Romantic-Comedy_2011_18","Life as We Know It","Warner Bros.","Romantic-Comedy"
"Romantic-Comedy_2011_19","Joueuse","Zeitgeist","Romantic-Comedy"
"Romantic-Comedy_2011_20","Jihne Mera Dil Luteya","Viva Entertainment","Romantic-Comedy"
"Romantic-Comedy_2011_21","Thank You","UTV Communications","Romantic-Comedy"
"Romantic-Comedy_2011_22","Happythankyoumoreplease","Anchor Bay Entert…","Romantic-Comedy"
"Romantic-Comedy_2011_23","La Bonheur des autres","Entertainment One","Romantic-Comedy"
"Romantic-Comedy_2011_24","35 and Ticking","Image Entertainment","Romantic-Comedy"
"Romantic-Comedy_2011_25","When Harry Tries to Marry","108 Pics","Romantic-Comedy"
"Romantic-Comedy_2011_26","Love in Space","China Lion Film D…","Romantic-Comedy"
"Romantic-Comedy_2011_27","Waiting for Forever","Freestyle Releasing","Romantic-Comedy"
"Romantic-Comedy_2011_28","Ceremony","Magnolia Pictures","Romantic-Comedy"
"Romantic-Comedy_2011_29","All's Faire in Love","Hannover House","Romantic-Comedy"
"Romantic-Comedy_2011_30","Griff the Invisible","Indomina Releasing","Romantic-Comedy"
"Romantic-Comedy_2011_31","Feed the Fish","Strand","Romantic-Comedy"
"Romantic-Comedy_2011_32","A Bird of the Air","Paladin","Romantic-Comedy"
"Romantic-Comedy_2011_33","Chalet Girl","IFC Films","Romantic-Comedy"
"Romantic-Comedy_2012_1","Think Like a Man","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2012_2","Hope Springs","Sony Pictures","Romantic-Comedy"
"Romantic-Comedy_2012_3","This Means War","20th Century Fox","Romantic-Comedy"
"Romantic-Comedy_2012_4","What to Expect When You're …","Lionsgate","Romantic-Comedy"
"Romantic-Comedy_2012_5","The Five-Year Engagement","Universal","Romantic-Comedy"
"Romantic-Comedy_2012_6","To Rome with Love","Sony Pictures Cla…","Romantic-Comedy"
