"movie_id","movie_name","movie_distributor","movie_genre"
"Thriller-or-Suspense_2004_25","The Burial Society","Regent Releasing","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_26","Out of Time","MGM","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_27","Reeseville","Innovation Film G…","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_28","La mentale","","Thriller-or-Suspense"
"Thriller-or-Suspense_2004_29","Who Killed Bambi?","Strand","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_1","Flightplan","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_2","The Interpreter","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_3","Red Eye","Dreamworks SKG","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_4","Hide and Seek","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_5","Syriana","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_6","Dark Water","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_7","Cry Wolf","Focus/Rogue Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_8","The Jacket","Warner Independent","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_9","Underclassman","Miramax","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_10","Mindhunters","Miramax/Dimension","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_11","Stay","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_12","Layer Cake","Sony Pictures Cla…","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_13","Oldboy","Tartan Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_14","Match Point","Dreamworks SKG","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_15","Asylum","Paramount Vantage","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_16","Kontroll","ThinkFilm","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_17","The Machinist","Paramount Vantage","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_18","The Matador","Weinstein Co.","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_19","The Other Side of the Street","Strand","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_20","Chocolate: Deep Dark Secrets","Eros Entertainment","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_21","Boksuneun naui geot","Tartan Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_22","Classe Tous Risques","Rialto Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_23","Fascination","MGM","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_24","Salinsui Chooeok","Palm Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_25","Enduring Love","Paramount Vantage","Thriller-or-Suspense"
"Thriller-or-Suspense_2005_26","Who Killed Bambi?","Strand","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_1","The Da Vinci Code","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_2","Inside Man","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_3","Déjà Vu","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_4","The Prestige","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_5","Firewall","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_6","The Sentinel","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_7","Snakes on a Plane","New Line","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_8","The Descent","Lionsgate","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_9","The Wicker Man","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_10","The Covenant","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_11","The Black Dahlia","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_12","Lucky Number Slevin","MGM","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_13","Match Point","Dreamworks SKG","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_14","Syriana","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_15","The Matador","Weinstein Co.","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_16","The Return","Focus Features","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_17","Turistas","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_18","Basic Instinct 2","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_19","A Scanner Darkly","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_20","Catch a Fire","Focus Features","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_21","Children of Men","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_22","Flightplan","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_23","Chinjeolhan geumjassi","Tartan Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_24","The Fallen Idol","Rialto Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_25","13 Tzameti","Palm Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_26","La Demoiselle d'honneur","First Run Features","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_27","Cavite","Truly Indie","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_28","Classe Tous Risques","Rialto Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_29","Moonlight","Indican Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_30","The Zodiac","ThinkFilm","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_31","El Aura","IFC Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_32","Hate Crime","Pasidg Productions","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_33","Unknown","IFC Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_34","The Dead Girl","First Look","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_35","Boksuneun naui geot","Tartan Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2006_36","Zyzzyx Rd.","Regent Releasing","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_1","The Bourne Ultimatum","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_2","Disturbia","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_3","Premonition","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_4","Shooter","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_5","Fracture","New Line","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_6","The Number 23","New Line","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_7","Children of Men","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_8","Breach","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_9","Mr. Brooks","MGM","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_10","Hannibal Rising","Weinstein Co.","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_11","Nancy Drew","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_12","Perfect Stranger","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_13","The Invisible","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_14","Vacancy","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_15","Eastern Promises","Focus Features","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_16","The Hitcher","Focus Features","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_17","The Invasion","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_18","Awake","Weinstein Co.","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_19","Rendition","New Line","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_20","I Know Who Killed Me","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_21","Zwartboek","Sony Pictures Cla…","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_22","Sunshine","Fox Searchlight","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_23","Illegal Tender","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_24","Ma Fille, Mon Ange","Alliance Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_25","Déjà Vu","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_26","Slow Burn","Lionsgate","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_27","Blade Runner","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_28","Thr3e","The Bigger Picture","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_29","Paprika","Sony Pictures Cla…","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_30","Sarah Landon and the Parano…","Freestyle Releasing","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_31","The Prestige","Walt Disney","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_32","Joshua","Fox Searchlight","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_33","Sleuth","Sony Pictures Cla…","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_34","Youth Without Youth","Sony Pictures Cla…","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_35","Fay Grim","Magnolia Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_36","Civic Duty","Freestyle Releasing","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_37","Revolver","Samuel Goldwyn Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_38","Le Doulos","Rialto Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_39","Turistas","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_40","Right at Your Door","Lionsgate","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_41","Hak se wui yi wo wai kwai","Tartan Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_42","The Situation","Shadow","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_43","Ils","Slowhand Cinema","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_44","Arnolds Park","The Movie Partners","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_45","Chacun sa nuit","Strand","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_46","The Dead Girl","First Look","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_47","El Aura","IFC Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_48","Descent","City Lights Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_49","Alone with Her","IFC Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_50","Splinter","Magic Lamp","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_51","If I Didn't Care","Artistic License","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_52","Ten 'Til Noon","Radio London Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_53","La Demoiselle d'honneur","First Run Features","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_54","Crónica de una fuga","IFC Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_55","Mem-o-re","Aloha Releasing","Thriller-or-Suspense"
"Thriller-or-Suspense_2007_56","Moonlight","Indican Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_1","Eagle Eye","Paramount Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_2","21","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_3","Vantage Point","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_4","The Happening","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_5","Valkyrie","United Artists","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_6","The Strangers","Focus Features","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_7","Righteous Kill","Overture Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_8","Body of Lies","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_9","Lakeview Terrace","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_10","Changeling","Universal","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_11","The Eye","Lionsgate","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_12","The Bank Job","Lionsgate","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_13","Untraceable","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_14","Street Kings","Fox Searchlight","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_15","Traitor","Overture Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_16","88 Minutes","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_17","Ne le dis à personne","Music Box Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_18","Deception","20th Century Fox","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_19","Blindness","Miramax","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_20","Transsiberian","First Look","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_21","Ghajini","AdLab Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_22","Funny Games","Warner Independent","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_23","Nobel Son","Freestyle Releasing","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_24","La fille coupée en deux","IFC Films","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_25","Le piège américain","","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_26","Blade Runner","Warner Bros.","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_27","Kidnap","Studio 18","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_28","Passengers","Sony Pictures","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_29","Awake","Weinstein Co.","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_30","Pathology","MGM","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_31","Cover","Reel Diva Consult…","Thriller-or-Suspense"
"Thriller-or-Suspense_2008_32","Midnight Meat Train","Lionsgate","Thriller-or-Suspense"
